_id,Model year,Make,Model,Vehicle class,Engine size (L),Cylinders,Transmission,Fuel type,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating
1,2024,Acura,Integra A-SPEC,Full-size,1.5,4,AV7,Z,8.1,6.5,7.4,38,172,6,7
2,2024,Acura,Integra A-SPEC,Full-size,1.5,4,M6,Z,8.9,6.5,7.8,36,181,6,6
3,2024,Acura,Integra Type S,Full-size,2.0,4,M6,Z,11.1,8.3,9.9,29,230,5,6
4,2024,Acura,MDX SH-AWD,Sport utility vehicle: Small,3.5,6,AS10,Z,12.6,9.4,11.2,25,263,4,5
5,2024,Acura,MDX SH-AWD Type S,Sport utility vehicle: Standard,3.0,6,AS10,Z,13.8,11.2,12.4,23,291,4,5
6,2024,Acura,RDX SH-AWD,Sport utility vehicle: Small,2.0,4,AS10,Z,11.0,8.6,9.9,29,232,5,6
7,2024,Acura,RDX SH-AWD A-SPEC,Sport utility vehicle: Small,2.0,4,AS10,Z,11.3,9.1,10.3,27,241,5,6
8,2024,Alfa Romeo,Giulia,Mid-size,2.0,4,A8,Z,10.0,7.2,8.7,32,205,5,5
9,2024,Alfa Romeo,Giulia AWD,Mid-size,2.0,4,A8,Z,10.5,7.7,9.2,31,217,5,5
10,2024,Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6,A8,Z,13.5,9.3,11.6,24,271,4,3
11,2024,Alfa Romeo,Stelvio,Sport utility vehicle: Small,2.0,4,A8,Z,10.3,8.1,9.3,30,218,5,5
12,2024,Alfa Romeo,Stelvio AWD,Sport utility vehicle: Small,2.0,4,A8,Z,10.8,8.3,9.6,29,226,5,5
13,2024,Alfa Romeo,Stelvio AWD Quadrifoglio,Sport utility vehicle: Small,2.9,6,A8,Z,13.9,10.3,12.3,23,288,4,3
14,2024,Alfa Romeo,Tonale AWD,Sport utility vehicle: Small,2.0,4,A9,X,11.2,8.2,9.8,29,231,5,7
15,2024,Aston Martin,DB12,Minicompact,4.0,8,A8,Z,15.9,10.5,13.5,21,316,3,5
16,2024,Aston Martin,DBS V12,Minicompact,5.2,12,A8,Z,16.4,10.7,13.8,20,324,3,3
17,2024,Aston Martin,DBX V8,Sport utility vehicle: Standard,4.0,8,A9,Z,16.8,11.9,14.6,19,343,3,5
18,2024,Aston Martin,DBX707,Sport utility vehicle: Standard,4.0,8,A9,Z,15.7,12.0,14.0,20,329,3,5
19,2024,Aston Martin,Valour,Two-seater,5.2,12,M6,Z,18.9,13.1,16.3,17,383,2,3
20,2024,Audi,A3 40 TFSI quattro,Subcompact,2.0,4,AM7,X,9.2,6.9,8.1,35,191,6,7
21,2024,Audi,A4 45 TFSI quattro,Compact,2.0,4,AM7,Z,10.0,7.4,8.8,32,208,5,5
22,2024,Audi,A4 allroad 45 TFSI quattro,Station wagon: Small,2.0,4,AM7,Z,10.3,7.8,9.2,31,215,5,5
23,2024,Audi,A5 Cabriolet 45 TFSI quattro,Subcompact,2.0,4,AM7,Z,9.8,7.1,8.6,33,202,5,5
24,2024,Audi,A5 Coupé 45 TFSI quattro,Subcompact,2.0,4,AM7,Z,10.0,7.4,8.8,32,208,5,5
25,2024,Audi,A5 Sportback 45 TFSI quattro,Mid-size,2.0,4,AM7,Z,10.0,7.4,8.8,32,208,5,5
26,2024,Audi,A6 45 TFSI quattro,Mid-size,2.0,4,AM7,Z,10.4,7.2,9.0,31,210,5,5
27,2024,Audi,A6 55 TFSI quattro,Mid-size,3.0,6,AM7,Z,10.9,8.0,9.6,29,225,5,5
28,2024,Audi,A6 allroad 55 TFSI quattro,Station wagon: Mid-size,3.0,6,AM7,Z,10.9,8.0,9.6,29,225,5,5
29,2024,Audi,A7 Sportback 55 TFSI quattro,Mid-size,3.0,6,AM7,Z,10.9,8.0,9.6,29,225,5,5
30,2024,Audi,A8 L 55 TFSI quattro,Full-size,3.0,6,AS8,Z,12.4,8.4,10.6,27,249,5,5
31,2024,Audi,Q3 40 TFSI quattro,Sport utility vehicle: Small,2.0,4,AS8,X,10.7,8.1,9.5,30,224,5,6
32,2024,Audi,Q3 45 TFSI quattro,Sport utility vehicle: Small,2.0,4,AS8,X,11.5,8.5,10.2,28,239,5,7
33,2024,Audi,Q5 40 TFSI quattro,Sport utility vehicle: Small,2.0,4,AM7,Z,10.1,8.0,9.2,31,215,5,5
34,2024,Audi,Q5 45 TFSI quattro,Sport utility vehicle: Small,2.0,4,AM7,Z,11.0,8.5,9.9,29,230,5,5
35,2024,Audi,Q5 Sportback 45 TFSI quattro,Sport utility vehicle: Small,2.0,4,AM7,Z,11.0,8.5,9.9,29,230,5,5
36,2024,Audi,Q7 45 TFSI quattro,Sport utility vehicle: Standard,2.0,4,AS8,Z,12.3,9.4,11.0,26,258,4,5
37,2024,Audi,Q7 55 TFSI quattro,Sport utility vehicle: Standard,3.0,6,AS8,Z,12.7,9.8,11.4,25,268,4,5
38,2024,Audi,Q8 55 TFSI quattro,Sport utility vehicle: Standard,3.0,6,AS8,Z,13.6,10.4,12.1,23,285,4,5
39,2024,Audi,RS 5 Coupé,Subcompact,2.9,6,AS8,Z,12.9,9.3,11.3,25,264,4,5
40,2024,Audi,RS 5 Sportback,Mid-size,2.9,6,AS8,Z,13.3,9.6,11.6,24,272,4,5
41,2024,Audi,RS 6 Avant performance,Station wagon: Mid-size,4.0,8,AS8,Z,16.9,11.0,14.2,20,335,3,3
42,2024,Audi,RS 7 Sportback performance,Mid-size,4.0,8,AS8,Z,16.9,11.0,14.2,20,335,3,3
43,2024,Audi,RS Q8,Sport utility vehicle: Standard,4.0,8,AS8,Z,17.7,12.4,15.3,18,357,2,3
44,2024,Audi,S3 quattro,Subcompact,2.0,4,AM7,Z,10.2,7.4,8.9,32,208,5,5
45,2024,Audi,S4 quattro,Compact,3.0,6,AS8,Z,11.1,8.1,9.7,29,228,5,5
46,2024,Audi,S5 Cabriolet quattro,Subcompact,3.0,6,AS8,Z,11.9,8.8,10.5,27,247,5,5
47,2024,Audi,S5 Coupé quattro,Subcompact,3.0,6,AS8,Z,11.1,8.1,9.7,29,228,5,5
48,2024,Audi,S5 Sportback quattro,Mid-size,3.0,6,AS8,Z,11.8,8.2,10.2,28,238,5,5
49,2024,Audi,S6 quattro,Mid-size,2.9,6,AS8,Z,12.3,8.8,10.7,26,252,5,5
50,2024,Audi,S7 quattro,Mid-size,2.9,6,AS8,Z,12.3,8.8,10.7,26,252,5,5
51,2024,Audi,S8 quattro,Full-size,4.0,8,AS8,Z,16.0,10.0,13.3,21,312,4,3
52,2024,Audi,SQ5 quattro,Sport utility vehicle: Small,3.0,6,AS8,Z,12.6,9.8,11.4,25,266,4,5
53,2024,Audi,SQ5 Sportback quattro,Sport utility vehicle: Small,3.0,6,AS8,Z,12.6,9.8,11.4,25,266,4,5
54,2024,Audi,SQ7 quattro,Sport utility vehicle: Standard,4.0,8,AS8,Z,16.0,11.5,13.9,20,326,3,3
55,2024,Audi,SQ8 quattro,Sport utility vehicle: Standard,4.0,8,AS8,Z,15.6,11.5,13.8,20,322,3,3
56,2024,Bentley,Bentayga,Sport utility vehicle: Standard,4.0,8,AS8,Z,17.1,11.4,14.6,19,343,3,3
57,2024,Bentley,Bentayga EWB,Sport utility vehicle: Standard,4.0,8,AS8,Z,17.1,11.4,14.6,19,343,3,3
58,2024,Bentley,Continental GT,Subcompact,4.0,8,AM8,Z,16.4,10.5,13.7,21,322,3,3
59,2024,Bentley,Continental GT,Subcompact,6.0,12,AM8,Z,19.2,11.4,15.7,18,367,2,3
60,2024,Bentley,Continental GT Convertible,Minicompact,4.0,8,AM8,Z,16.7,11.4,14.3,20,337,3,3
61,2024,Bentley,Continental GT Convertible,Minicompact,6.0,12,AM8,Z,19.8,12.7,16.6,17,388,2,3
62,2024,Bentley,Flying Spur,Mid-size,4.0,8,AM8,Z,16.1,11.9,14.2,20,333,3,3
63,2024,Bentley,Flying Spur,Mid-size,6.0,12,AM8,Z,19.3,12.4,16.2,17,378,2,3
64,2024,BMW,230i xDrive Coupe,Subcompact,2.0,4,AS8,Z,9.6,7.1,8.4,34,195,6,3
65,2024,BMW,330i xDrive Sedan,Compact,2.0,4,AS8,Z,9.8,7.0,8.6,33,200,6,7
66,2024,BMW,430i xDrive Cabriolet,Subcompact,2.0,4,AS8,Z,10.0,7.1,8.7,32,203,5,7
67,2024,BMW,430i xDrive Coupe,Subcompact,2.0,4,AS8,Z,10.0,7.1,8.7,32,203,5,7
68,2024,BMW,530i xDrive Sedan,Mid-size,2.0,4,AS8,Z,8.7,6.8,7.9,36,182,6,7
69,2024,BMW,760i xDrive Sedan,Full-size,4.4,8,AS8,Z,13.3,9.3,11.5,25,265,4,5
70,2024,BMW,ALPINA B8 Gran Coupe,Mid-size,4.4,8,AS8,Z,14.1,9.9,12.2,23,284,4,3
71,2024,BMW,ALPINA XB7,Sport utility vehicle: Standard,4.4,8,AS8,Z,15.2,11.6,13.6,21,314,4,5
72,2024,BMW,M2 Coupe,Subcompact,3.0,6,AS8,Z,14.6,10.3,12.7,22,294,4,5
73,2024,BMW,M2 Coupe,Subcompact,3.0,6,M6,Z,14.3,10.0,12.4,23,287,4,5
74,2024,BMW,M240i xDrive Coupe,Subcompact,3.0,6,AS8,Z,10.4,7.4,9.0,31,210,5,5
75,2024,BMW,M3 Sedan,Compact,3.0,6,M6,Z,14.7,10.1,12.6,22,293,4,5
76,2024,BMW,M3 Competition M xDrive Sedan,Compact,3.0,6,AS8,Z,14.6,10.5,12.7,22,296,4,5
77,2024,BMW,M3 CS Sedan,Compact,3.0,6,AS8,Z,15.3,10.6,13.2,21,305,4,5
78,2024,BMW,M340i xDrive Sedan,Compact,3.0,6,AS8,Z,10.4,7.5,9.1,31,212,5,5
79,2024,BMW,M4 Competition M xDrive Cabriolet,Subcompact,3.0,6,AS8,Z,15.1,10.4,12.9,22,301,4,5
80,2024,BMW,M4 Competition M xDrive Coupe,Subcompact,3.0,6,AS8,Z,14.6,10.5,12.7,22,296,4,5
81,2024,BMW,M4 Coupe,Subcompact,3.0,6,M6,Z,14.7,10.1,12.6,22,293,4,5
82,2024,BMW,M440i xDrive Cabriolet,Subcompact,3.0,6,AS8,Z,10.4,7.5,9.1,31,211,5,5
83,2024,BMW,M440i xDrive Coupe,Subcompact,3.0,6,AS8,Z,10.7,7.5,9.3,30,216,5,5
84,2024,BMW,M8 Competition Cabriolet,Subcompact,4.4,8,AS8,Z,16.0,10.9,13.7,21,321,3,3
85,2024,BMW,M8 Competition Coupe,Subcompact,4.4,8,AS8,Z,16.0,10.9,13.7,21,321,3,3
86,2024,BMW,M8 Competition Gran Coupe,Mid-size,4.4,8,AS8,Z,16.0,10.9,13.7,21,321,3,3
87,2024,BMW,M850i xDrive Cabriolet,Subcompact,4.4,8,AS8,Z,14.1,9.9,12.2,23,284,4,3
88,2024,BMW,M850i xDrive Coupe,Subcompact,4.4,8,AS8,Z,14.1,9.9,12.2,23,284,4,3
89,2024,BMW,M850i xDrive Gran Coupe,Mid-size,4.4,8,AS8,Z,14.1,9.9,12.2,23,284,4,3
90,2024,BMW,X1 xDrive28i,Sport utility vehicle: Small,2.0,4,AM7,Z,9.6,7.0,8.4,34,195,6,8
91,2024,BMW,X1 M35i xDrive,Sport utility vehicle: Small,2.0,4,AM7,Z,10.1,7.6,9.0,31,208,5,6
92,2024,BMW,X2 xDrive28i,Sport utility vehicle: Small,2.0,4,AM7,Z,9.7,7.1,8.5,33,198,6,8
93,2024,BMW,X2 M35i xDrive,Sport utility vehicle: Small,2.0,4,AM7,Z,10.3,7.3,8.9,32,207,5,6
94,2024,BMW,X3 xDrive30i,Sport utility vehicle: Small,2.0,4,AS8,Z,11.0,8.4,9.9,29,229,5,7
95,2024,BMW,X3 M,Sport utility vehicle: Small,3.0,6,AS8,Z,15.7,11.7,13.9,20,323,3,3
96,2024,BMW,X3 M Competition,Sport utility vehicle: Small,3.0,6,AS8,Z,15.7,11.7,13.9,20,323,3,3
97,2024,BMW,X3 M40i,Sport utility vehicle: Small,3.0,6,AS8,Z,10.9,9.0,10.1,28,235,5,5
98,2024,BMW,X4 xDrive30i,Sport utility vehicle: Small,2.0,4,AS8,Z,11.0,8.4,9.9,29,229,5,7
99,2024,BMW,X4 M,Sport utility vehicle: Small,3.0,6,AS8,Z,15.7,11.7,13.9,20,323,3,3
100,2024,BMW,X4 M Competition,Sport utility vehicle: Small,3.0,6,AS8,Z,15.7,11.7,13.9,20,323,3,3
101,2024,BMW,X4 M40i,Sport utility vehicle: Small,3.0,6,AS8,Z,10.9,9.0,10.1,28,235,5,5
102,2024,BMW,X5 xDrive40i,Sport utility vehicle: Standard,3.0,6,AS8,Z,10.1,8.7,9.4,30,218,5,7
103,2024,BMW,X5 M Competition,Sport utility vehicle: Standard,4.4,8,AS8,Z,18.2,12.9,15.8,18,366,2,5
104,2024,BMW,X5 M60i,Sport utility vehicle: Standard,4.4,8,AS8,Z,13.8,10.5,12.3,23,285,4,5
105,2024,BMW,X6 xDrive40i,Sport utility vehicle: Standard,3.0,6,AS8,Z,10.3,8.9,9.6,29,223,5,7
106,2024,BMW,X6 M Competition,Sport utility vehicle: Standard,4.4,8,AS8,Z,18.2,12.9,15.8,18,366,2,5
107,2024,BMW,X6 M60i,Sport utility vehicle: Standard,4.4,8,AS8,Z,13.8,10.5,12.3,23,285,4,5
108,2024,BMW,X7 xDrive40i,Sport utility vehicle: Standard,3.0,6,AS8,Z,11.3,9.5,10.5,27,243,5,7
109,2024,BMW,X7 M60i,Sport utility vehicle: Standard,4.4,8,AS8,Z,14.3,11.1,12.9,22,299,4,5
110,2024,BMW,Z4 sDrive30i,Two-seater,2.0,4,AS8,Z,9.4,7.1,8.4,34,194,6,7
111,2024,BMW,Z4 M40i,Two-seater,3.0,6,AS8,Z,10.4,7.5,9.1,31,210,5,5
112,2024,Bugatti,Chiron Super Sport,Two-seater,8.0,16,AM7,Z,30.3,20.9,26.1,11,608,1,1
113,2024,Buick,Enclave AWD,Sport utility vehicle: Standard,3.6,6,A9,X,13.8,9.6,11.9,24,280,4,6
114,2024,Buick,Encore GX,Sport utility vehicle: Small,1.3,3,AV,X,8.0,7.6,7.8,36,183,6,7
115,2024,Buick,Encore GX AWD,Sport utility vehicle: Small,1.3,3,A9,X,9.1,8.4,8.8,32,207,5,7
116,2024,Buick,Envista,Station wagon: Small,1.2,3,A6,X,8.4,7.4,7.9,36,185,6,7
117,2024,Cadillac,CT4,Compact,2.0,4,AS8,Z,10.6,7.3,9.1,31,214,5,7
118,2024,Cadillac,CT4,Compact,2.7,4,AS10,Z,11.0,7.6,9.5,30,221,5,6
119,2024,Cadillac,CT4 AWD,Compact,2.0,4,AS8,Z,11.0,7.6,9.5,30,223,5,7
120,2024,Cadillac,CT4 AWD,Compact,2.7,4,AS10,Z,11.3,8.1,9.9,29,231,5,6
121,2024,Cadillac,CT4-V,Compact,2.7,4,AS10,Z,11.8,8.2,10.2,28,236,5,6
122,2024,Cadillac,CT4-V,Compact,3.6,6,AS10,Z,15.0,9.7,12.6,22,297,4,5
123,2024,Cadillac,CT4-V,Compact,3.6,6,M6,Z,15.2,10.2,13.0,22,303,4,5
124,2024,Cadillac,CT4-V AWD,Compact,2.7,4,AS10,Z,12.0,8.4,10.4,27,244,5,6
125,2024,Cadillac,CT5,Mid-size,2.0,4,AS10,Z,10.3,7.1,8.8,32,207,5,7
126,2024,Cadillac,CT5,Mid-size,3.0,6,AS10,Z,12.4,8.7,10.8,26,252,5,5
127,2024,Cadillac,CT5 AWD,Mid-size,2.0,4,AS10,Z,10.9,7.8,9.5,30,224,5,7
128,2024,Cadillac,CT5 AWD,Mid-size,3.0,6,AS10,Z,13.1,9.1,11.3,25,265,4,5
129,2024,Cadillac,CT5-V,Mid-size,3.0,6,AS10,Z,13.1,8.8,11.2,25,263,4,5
130,2024,Cadillac,CT5-V,Mid-size,6.2,8,AS10,Z,17.9,11.0,14.8,19,347,3,3
131,2024,Cadillac,CT5-V,Mid-size,6.2,8,M6,Z,18.5,11.4,15.3,18,358,2,3
132,2024,Cadillac,CT5-V AWD,Mid-size,3.0,6,AS10,Z,13.1,9.1,11.3,25,265,4,5
133,2024,Cadillac,Escalade 4WD,Sport utility vehicle: Standard,3.0,6,A10,D,11.7,9.0,10.5,27,281,4,3
134,2024,Cadillac,Escalade 4WD,Sport utility vehicle: Standard,6.2,8,A10,Z,16.6,13.0,15.0,19,350,3,6
135,2024,Cadillac,Escalade-V AWD,Sport utility vehicle: Standard,6.2,8,AS10,Z,20.8,14.7,18.1,16,425,1,3
136,2024,Cadillac,XT4,Sport utility vehicle: Small,2.0,4,AS9,Z,10.0,8.1,9.1,31,214,5,7
137,2024,Cadillac,XT4 AWD,Sport utility vehicle: Small,2.0,4,AS9,Z,10.4,8.4,9.5,30,224,5,7
138,2024,Cadillac,XT5,Sport utility vehicle: Small,2.0,4,AS9,Z,10.9,8.2,9.7,29,228,5,7
139,2024,Cadillac,XT5 AWD,Sport utility vehicle: Small,2.0,4,AS9,Z,11.2,8.7,10.1,28,237,5,7
140,2024,Cadillac,XT5 AWD,Sport utility vehicle: Small,3.6,6,AS9,X,12.9,9.2,11.2,25,264,4,6
141,2024,Cadillac,XT6 AWD,Sport utility vehicle: Small,2.0,4,AS9,Z,11.2,9.0,10.2,28,239,5,7
142,2024,Cadillac,XT6 AWD,Sport utility vehicle: Small,3.6,6,AS9,X,13.1,9.5,11.5,25,269,4,6
143,2024,Chevrolet,Blazer AWD,Sport utility vehicle: Small,2.0,4,A9,X,10.8,8.7,9.9,29,229,5,7
144,2024,Chevrolet,Blazer AWD,Sport utility vehicle: Small,3.6,6,A9,X,12.8,9.1,11.2,25,262,4,6
145,2024,Chevrolet,Camaro,Subcompact,3.6,6,AS10,X,12.8,8.2,10.7,26,253,5,6
146,2024,Chevrolet,Camaro,Subcompact,3.6,6,M6,X,14.3,9.0,11.9,24,280,4,6
147,2024,Chevrolet,Camaro SS,Subcompact,6.2,8,AS10,Z,14.6,8.9,12.0,24,281,4,1
148,2024,Chevrolet,Camaro SS,Subcompact,6.2,8,M6,Z,14.9,9.9,12.6,22,297,4,1
149,2024,Chevrolet,Camaro ZL1,Subcompact,6.2,8,AS10,Z,18.3,11.2,15.1,19,355,3,1
150,2024,Chevrolet,Camaro ZL1,Subcompact,6.2,8,M6,Z,17.2,12.0,14.9,19,349,3,1
151,2024,Chevrolet,Colorado,Pickup truck: Small,2.7,4,A8,X,11.8,9.9,10.9,26,256,5,7
152,2024,Chevrolet,Colorado (Turbo Plus),Pickup truck: Small,2.7,4,A8,X,12.3,9.7,11.1,25,261,4,7
153,2024,Chevrolet,Colorado 4WD,Pickup truck: Small,2.7,4,A8,X,12.7,10.8,11.8,24,278,4,7
154,2024,Chevrolet,Colorado 4WD (Turbo Plus),Pickup truck: Small,2.7,4,A8,X,13.0,10.4,11.8,24,277,4,7
155,2024,Chevrolet,Colorado 4WD Mud Terrain Tire (Turbo Plus),Pickup truck: Small,2.7,4,A8,X,14.0,11.9,13.1,22,307,4,7
156,2024,Chevrolet,Colorado ZR2 4WD (Turbo Plus),Pickup truck: Small,2.7,4,A8,X,14.1,13.8,14.0,20,328,3,7
157,2024,Chevrolet,Colorado ZR2 Bison 4WD (Turbo Plus),Pickup truck: Small,2.7,4,A8,X,14.8,15.1,14.9,19,350,3,7
158,2024,Chevrolet,Corvette,Two-seater,6.2,8,AS8,Z,15.0,9.4,12.5,23,295,4,5
159,2024,Chevrolet,Corvette E-Ray,Two-seater,6.2,8,AS8,Z,15.1,9.7,12.7,22,298,4,3
160,2024,Chevrolet,Corvette Z06,Two-seater,5.5,8,AS8,Z,19.4,11.4,15.8,18,371,2,3
161,2024,Chevrolet,Corvette Z06 Carbon Aero,Two-seater,5.5,8,AS8,Z,20.0,12.7,16.7,17,392,2,3
162,2024,Chevrolet,Equinox,Sport utility vehicle: Small,1.5,4,A6,X,9.2,7.7,8.5,33,193,6,7
163,2024,Chevrolet,Equinox AWD,Sport utility vehicle: Small,1.5,4,A6,X,9.7,7.9,8.9,32,207,5,7
164,2024,Chevrolet,Malibu,Mid-size,1.5,4,AV,X,8.4,6.7,7.7,37,178,6,7
165,2024,Chevrolet,Silverado,Pickup truck: Standard,2.7,4,A8,X,12.9,10.9,12.0,24,281,4,7
166,2024,Chevrolet,Silverado (With Sport Mode),Pickup truck: Standard,2.7,4,A8,X,13.4,11.2,12.5,23,292,4,7
167,2024,Chevrolet,Silverado,Pickup truck: Standard,3.0,6,A10,D,10.1,8.1,9.2,31,247,5,5
168,2024,Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A10,X,14.7,11.4,13.2,21,309,4,7
169,2024,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A10,X,14.3,11.7,13.1,22,308,4,5
170,2024,Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A10,E,19.6,15.3,17.7,16,293,4,5
171,2024,Chevrolet,Silverado 4WD,Pickup truck: Standard,2.7,4,A8,X,13.2,11.2,12.3,23,289,4,7
172,2024,Chevrolet,Silverado 4WD (With Sport Mode),Pickup truck: Standard,2.7,4,A8,X,14.0,12.7,13.4,21,314,4,7
173,2024,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,2.7,4,A8,X,14.9,13.9,14.4,20,337,3,7
174,2024,Chevrolet,Silverado 4WD Mud Terrain Tire (With Sport Mode),Pickup truck: Standard,2.7,4,A8,X,14.6,13.6,14.2,20,332,3,7
175,2024,Chevrolet,Silverado 4WD,Pickup truck: Standard,3.0,6,A10,D,11.0,9.7,10.4,27,280,4,5
176,2024,Chevrolet,Silverado 4WD (With Sport Mode),Pickup truck: Standard,3.0,6,A10,D,10.4,8.7,9.6,29,259,4,5
177,2024,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,3.0,6,A10,D,11.3,10.4,10.9,26,293,4,5
178,2024,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A10,X,15.5,12.6,14.2,20,332,3,7
179,2024,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A10,X,15.2,12.2,13.9,20,326,3,5
180,2024,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A10,E,21.3,16.6,19.2,15,318,3,5
181,2024,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,5.3,8,A10,X,15.8,13.1,14.6,19,342,3,7
182,2024,Chevrolet,Silverado 4WD Mud Terrain Tire FFV,Pickup truck: Standard,5.3,8,A10,X,15.2,12.2,13.9,20,326,3,5
183,2024,Chevrolet,Silverado 4WD Mud Terrain Tire FFV,Pickup truck: Standard,5.3,8,A10,E,21.3,16.6,19.2,15,318,3,5
184,2024,Chevrolet,Silverado 4WD,Pickup truck: Standard,6.2,8,A10,Z,15.6,11.9,13.9,20,327,3,6
185,2024,Chevrolet,Silverado 4WD Mud Terrain Tire,Pickup truck: Standard,6.2,8,A10,Z,17.1,14.0,15.7,18,367,2,6
